"discipline","focal_game","next_game","n_matches","predictor_1","predictor_2","correlation"
"MS",1,2,3690,"excess_max_streak_momentum","excess_late_game_momentum",-0.0470067280147165
"MS",1,2,3690,"excess_max_streak_momentum","excess_streak_bonus_momentum",0.849219486538279
"MS",1,2,3690,"excess_streak_bonus_momentum","excess_late_game_momentum",0.00470178360421048
"MS",1,2,3690,"final_score_diff","excess_late_game_momentum",-0.0029409618745239
"MS",1,2,3690,"final_score_diff","excess_max_streak_momentum",-0.0504964310090802
"MS",1,2,3690,"final_score_diff","excess_streak_bonus_momentum",-0.107116846082739
"MS",2,3,1302,"excess_max_streak_momentum","excess_late_game_momentum",-0.0316208806107936
"MS",2,3,1302,"excess_max_streak_momentum","excess_streak_bonus_momentum",0.84695407881521
"MS",2,3,1302,"excess_streak_bonus_momentum","excess_late_game_momentum",-0.00762819656926143
"MS",2,3,1302,"final_score_diff","excess_late_game_momentum",0.0846971718380691
"MS",2,3,1302,"final_score_diff","excess_max_streak_momentum",-0.0769091334286305
"MS",2,3,1302,"final_score_diff","excess_streak_bonus_momentum",-0.117722860931657
"WS",1,2,2933,"excess_max_streak_momentum","excess_late_game_momentum",0.00682040052482497
"WS",1,2,2933,"excess_max_streak_momentum","excess_streak_bonus_momentum",0.848748349541178
"WS",1,2,2933,"excess_streak_bonus_momentum","excess_late_game_momentum",0.0399336053022966
"WS",1,2,2933,"final_score_diff","excess_late_game_momentum",0.000688535005626705
"WS",1,2,2933,"final_score_diff","excess_max_streak_momentum",-0.0147175143729328
"WS",1,2,2933,"final_score_diff","excess_streak_bonus_momentum",-0.078451533287109
"WS",2,3,870,"excess_max_streak_momentum","excess_late_game_momentum",-0.0418414582513449
"WS",2,3,870,"excess_max_streak_momentum","excess_streak_bonus_momentum",0.854695913556055
"WS",2,3,870,"excess_streak_bonus_momentum","excess_late_game_momentum",-0.0127023611958918
"WS",2,3,870,"final_score_diff","excess_late_game_momentum",0.0226180002923116
"WS",2,3,870,"final_score_diff","excess_max_streak_momentum",0.012632402583667
"WS",2,3,870,"final_score_diff","excess_streak_bonus_momentum",-0.0367537361795276
