"discipline","focal_game","next_game","momentum_definition","n_train","n_test","rmse","pearson_correlation"
"MS",1,2,"max_streak",2957,734,0.477835980334734,0.301376571563433
"MS",1,2,"score_diff",2957,734,0.470272743766457,0.343643381814553
"MS",1,2,"sqrt",2957,734,0.47017762689493,0.344002242461477
"MS",1,2,"time_weighted",2957,734,0.470080677983373,0.344592058334886
"MS",2,3,"max_streak",1047,255,0.488887210832421,0.20917653518552
"MS",2,3,"score_diff",1047,255,0.488136202222452,0.215895216979465
"MS",2,3,"sqrt",1047,255,0.488350788933737,0.214012105972186
"MS",2,3,"time_weighted",1047,255,0.487745631604458,0.219316907413402
"WS",1,2,"max_streak",2351,582,0.439237527680064,0.476418573055787
"WS",1,2,"score_diff",2351,582,0.433594596588047,0.496590216871621
"WS",1,2,"sqrt",2351,582,0.433608123617014,0.49655808543597
"WS",1,2,"time_weighted",2351,582,0.434457588611456,0.493606153383102
"WS",2,3,"max_streak",701,169,0.487473398163605,0.2473266790066
"WS",2,3,"score_diff",701,169,0.48119425252106,0.281524191066637
"WS",2,3,"sqrt",701,169,0.48109410037759,0.281677689927023
"WS",2,3,"time_weighted",701,169,0.480682578107172,0.284302547654854
