"discipline","focal_game","next_game","model","model_description","estimate","standard_error","z_value","p_value","term"
"MS",1,2,"controls_only","Controls only",0.0444562590788567,0.231416315979352,0.192105119687513,0.847659864674098,"(Intercept)"
"MS",1,2,"controls_only","Controls only",0.387747371273602,0.0259239080502817,14.957134183686,1.39923035860856e-50,"elo_difference_100"
"MS",1,2,"controls_only","Controls only",-0.0989474758462949,0.278639993140763,-0.355108664520777,0.722508185784378,"roundQualification quarter final"
"MS",1,2,"controls_only","Controls only",-0.0704511711117418,0.245652913379272,-0.286791514672451,0.77427196046465,"roundQualification round of 16"
"MS",1,2,"controls_only","Controls only",0.0375154253184636,0.277200827523782,0.135336628153627,0.892345726389635,"roundQualification round of 32"
"MS",1,2,"controls_only","Controls only",-0.0529054658835887,0.250487163740567,-0.21121028755942,0.83272318351753,"roundQuarter final"
"MS",1,2,"controls_only","Controls only",0.455587216450671,1.01828733573393,0.447405364343754,0.654582403325879,"roundRound 1"
"MS",1,2,"controls_only","Controls only",-0.188132241230838,0.980701409186922,-0.191834374324816,0.847871944175427,"roundRound 2"
"MS",1,2,"controls_only","Controls only",-0.389982744265376,0.981256955306304,-0.397431826756979,0.6910490496446,"roundRound 3"
"MS",1,2,"controls_only","Controls only",-0.12639694329193,0.237587044428171,-0.532002675466353,0.594724142478712,"roundRound of 16"
"MS",1,2,"controls_only","Controls only",-0.119362900075247,0.230714248900248,-0.51736249774003,0.604903133731907,"roundRound of 32"
"MS",1,2,"controls_only","Controls only",-0.0899375789383996,0.256486278243517,-0.350652594572758,0.725848993984038,"roundRound of 64"
"MS",1,2,"controls_only","Controls only",-0.208782133228751,0.273253356509594,-0.764060635505573,0.444831109182258,"roundSemi final"
"MS",1,2,"controls_only","Controls only",0.303556978863457,0.747338747760321,0.406183915624847,0.684607471343006,"tournament_typeHSBC BWF World Tour Finals"
"MS",1,2,"controls_only","Controls only",0.200402268628225,0.145825027233105,1.37426525769048,0.169359347924611,"tournament_typeHSBC BWF World Tour Super 1000"
"MS",1,2,"controls_only","Controls only",0.0478234873465936,0.0976763658657266,0.489611657054639,0.62440872605134,"tournament_typeHSBC BWF World Tour Super 300"
"MS",1,2,"controls_only","Controls only",0.116486818476702,0.109673823257301,1.06212052262843,0.288180974446141,"tournament_typeHSBC BWF World Tour Super 500"
"MS",1,2,"controls_only","Controls only",0.0768011894391691,0.138628384745579,0.554007677288603,0.579573591601845,"tournament_typeHSBC BWF World Tour Super 750"
"MS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",0.041216664719152,0.241098192508828,0.170953851998051,0.864260052094679,"(Intercept)"
"MS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",0.302814042754408,0.0268915231583285,11.26057609201,2.05411470724979e-29,"elo_difference_100"
"MS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",0.0406629846075146,0.0149909255830133,2.71250660156643,0.0066776451269796,"excess_late_game_momentum"
"MS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",0.0891217437317964,0.00529954914541777,16.8168539032901,1.83656146085859e-63,"final_score_diff"
"MS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",-0.0190387725912594,0.291235977201088,-0.0653723237569437,0.947877559373807,"roundQualification quarter final"
"MS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",-0.0595459528760739,0.256847972791896,-0.231833454742972,0.816667371710625,"roundQualification round of 16"
"MS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",0.00281853494671382,0.290741073549559,0.00969431292353463,0.992265178543614,"roundQualification round of 32"
"MS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",-0.0620833750513108,0.260990836654763,-0.237875688844334,0.811977511843142,"roundQuarter final"
"MS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",0.163149204793954,1.0451624785291,0.156099370332889,0.875954694680994,"roundRound 1"
"MS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",-0.380639973499112,1.009346828357,-0.377115142986788,0.70608803813023,"roundRound 2"
"MS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",-0.586358247956768,1.03122764791045,-0.568602140511741,0.569626171873893,"roundRound 3"
"MS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",-0.114285684313333,0.247447883391816,-0.461857595008683,0.644183445145944,"roundRound of 16"
"MS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",-0.122528329557603,0.240286846371959,-0.509925247293526,0.610103833325248,"roundRound of 32"
"MS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",-0.102489666158736,0.267704769845196,-0.382845872406388,0.701834046690816,"roundRound of 64"
"MS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",-0.300159301062242,0.283873224291546,-1.05737095075219,0.290342323810722,"roundSemi final"
"MS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",0.65182628119988,0.771337686878345,0.845059553407618,0.39807758938458,"tournament_typeHSBC BWF World Tour Finals"
"MS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",0.241745126777123,0.151424090387825,1.59647732509384,0.110382264310201,"tournament_typeHSBC BWF World Tour Super 1000"
"MS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",0.00619112049554064,0.102235317318573,0.0605575515186074,0.951711580424683,"tournament_typeHSBC BWF World Tour Super 300"
"MS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",0.117618335229787,0.114691303380878,1.02552095723587,0.305117442010569,"tournament_typeHSBC BWF World Tour Super 500"
"MS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",0.141527611226895,0.144402042285315,0.98009424927148,0.327039597574569,"tournament_typeHSBC BWF World Tour Super 750"
