"discipline","focal_game","next_game","n_train","n_test","model","model_description","rmse","pearson_correlation"
"MS",1,2,2956,734,"controls_only","Controls only",0.488342027206434,0.220833886325308
"MS",1,2,2956,734,"final_score","Final score",0.469439388732217,0.347749965614185
"MS",1,2,2956,734,"late_game","Late-game momentum",0.468810909699379,0.351108463426967
"MS",1,2,2956,734,"maximum_streak","Maximum streak",0.469553858993787,0.347227195334104
"MS",1,2,2956,734,"streak_bonus","Streak bonus",0.46939337066602,0.347955548109101
"MS",2,3,1047,255,"controls_only","Controls only",0.493658595204568,0.165165566136211
"MS",2,3,1047,255,"final_score","Final score",0.488686963305521,0.211067186966796
"MS",2,3,1047,255,"late_game","Late-game momentum",0.488221875652007,0.215557805284439
"MS",2,3,1047,255,"maximum_streak","Maximum streak",0.488428546463663,0.213320073032928
"MS",2,3,1047,255,"streak_bonus","Streak bonus",0.488336127767034,0.214130520588615
"WS",1,2,2351,582,"controls_only","Controls only",0.457535683168076,0.402202783441487
"WS",1,2,2351,582,"final_score","Final score",0.433514733425622,0.496916554709728
"WS",1,2,2351,582,"late_game","Late-game momentum",0.434217875597959,0.494499805468289
"WS",1,2,2351,582,"maximum_streak","Maximum streak",0.433582142447854,0.496690472928369
"WS",1,2,2351,582,"streak_bonus","Streak bonus",0.433557776225261,0.496772661217907
"WS",2,3,701,169,"controls_only","Controls only",0.489093428041882,0.227295504511724
"WS",2,3,701,169,"final_score","Final score",0.480343249389077,0.28481586259318
"WS",2,3,701,169,"late_game","Late-game momentum",0.479709596009221,0.288622949450588
"WS",2,3,701,169,"maximum_streak","Maximum streak",0.483269461823524,0.270185886076498
"WS",2,3,701,169,"streak_bonus","Streak bonus",0.484255102887612,0.265985388511838
