"discipline","focal_game","next_game","n_matches","predictor_1","predictor_2","correlation"
"MS",1,2,3691,"final_score_diff","max_streak_diff",0.819570588699206
"MS",1,2,3691,"final_score_diff","streak_bonus_momentum",0.94678458353469
"MS",1,2,3691,"final_score_diff","adjusted_late_game_momentum",0.192819155965634
"MS",1,2,3691,"max_streak_diff","streak_bonus_momentum",0.934508844553171
"MS",1,2,3691,"max_streak_diff","adjusted_late_game_momentum",0.116366240656867
"MS",1,2,3691,"streak_bonus_momentum","adjusted_late_game_momentum",0.174193554898148
"MS",2,3,1302,"final_score_diff","max_streak_diff",0.792303173074209
"MS",2,3,1302,"final_score_diff","streak_bonus_momentum",0.940735835593053
"MS",2,3,1302,"final_score_diff","adjusted_late_game_momentum",0.269400650906514
"MS",2,3,1302,"max_streak_diff","streak_bonus_momentum",0.922682682280792
"MS",2,3,1302,"max_streak_diff","adjusted_late_game_momentum",0.154087490387168
"MS",2,3,1302,"streak_bonus_momentum","adjusted_late_game_momentum",0.225457038948917
"WS",1,2,2933,"final_score_diff","max_streak_diff",0.838390219289402
"WS",1,2,2933,"final_score_diff","streak_bonus_momentum",0.948125036263811
"WS",1,2,2933,"final_score_diff","adjusted_late_game_momentum",0.160165050472373
"WS",1,2,2933,"max_streak_diff","streak_bonus_momentum",0.943834331699951
"WS",1,2,2933,"max_streak_diff","adjusted_late_game_momentum",0.11517371739467
"WS",1,2,2933,"streak_bonus_momentum","adjusted_late_game_momentum",0.145763808335078
"WS",2,3,870,"final_score_diff","max_streak_diff",0.798920851106803
"WS",2,3,870,"final_score_diff","streak_bonus_momentum",0.940242608826806
"WS",2,3,870,"final_score_diff","adjusted_late_game_momentum",0.238645145270977
"WS",2,3,870,"max_streak_diff","streak_bonus_momentum",0.927653200537448
"WS",2,3,870,"max_streak_diff","adjusted_late_game_momentum",0.159367095766292
"WS",2,3,870,"streak_bonus_momentum","adjusted_late_game_momentum",0.213418223812374
